id,value
profession.Healthcare Practitioners and Technical Occupations.Chiropractors,1.10.1
"profession.Healthcare Practitioners and Technical Occupations.Dentists, General",1.10.2
profession.Healthcare Practitioners and Technical Occupations.Oral and Maxillofacial Surgeons,1.10.3
profession.Healthcare Practitioners and Technical Occupations.Orthodontists,1.10.4
profession.Healthcare Practitioners and Technical Occupations.Prosthodontists,1.10.5
"profession.Healthcare Practitioners and Technical Occupations.Dentists, All Other Specialists",1.10.6
profession.Healthcare Practitioners and Technical Occupations.Dietitians and Nutritionists,1.10.7
profession.Healthcare Practitioners and Technical Occupations.Optometrists,1.10.8
profession.Healthcare Practitioners and Technical Occupations.Pharmacists,1.10.9
profession.Healthcare Practitioners and Technical Occupations.Physician Assistants,1.10.10
profession.Healthcare Practitioners and Technical Occupations.Podiatrists,1.10.11
profession.Healthcare Practitioners and Technical Occupations.Occupational Therapists,1.10.12
profession.Healthcare Practitioners and Technical Occupations.Physical Therapists,1.10.13
profession.Healthcare Practitioners and Technical Occupations.Radiation Therapists,1.10.14
profession.Healthcare Practitioners and Technical Occupations.Recreational Therapists,1.10.15
profession.Healthcare Practitioners and Technical Occupations.Respiratory Therapists,1.10.16
profession.Healthcare Practitioners and Technical Occupations.SpeechLanguage Pathologists,1.10.17
profession.Healthcare Practitioners and Technical Occupations.Exercise Physiologists,1.10.18
"profession.Healthcare Practitioners and Technical Occupations.Therapists, All Other",1.10.19
profession.Healthcare Practitioners and Technical Occupations.Veterinarians,1.10.20
profession.Healthcare Practitioners and Technical Occupations.Registered Nurses,1.10.21
profession.Healthcare Practitioners and Technical Occupations.Nurse Anesthetists,1.10.22
profession.Healthcare Practitioners and Technical Occupations.Nurse Midwives,1.10.23
profession.Healthcare Practitioners and Technical Occupations.Nurse Practitioners,1.10.24
profession.Healthcare Practitioners and Technical Occupations.Audiologists,1.10.25
profession.Healthcare Practitioners and Technical Occupations.Anesthesiologists,1.10.26
profession.Healthcare Practitioners and Technical Occupations.Cardiologists,1.10.27
profession.Healthcare Practitioners and Technical Occupations.Dermatologists,1.10.28
profession.Healthcare Practitioners and Technical Occupations.Emergency Medicine Physicians,1.10.29
